
$ CUSTOMER	QUANTUM				
$ ITEM	HL02500841	1			
$ ITEM	HL02501307	1			
$ ITEM	HL14016138	1			
$ ITEM	HOT169	1			
$ ITEM	HOT178	1			
$ ITEM	HOT705	1			
$ ITEM	HPL1506	1			
$ ITEM	HSD012	1			
$ ITEM	HSLD1482	1			
$ ITEM	IMP903159	2			
$ ITEM	IMP908072	1			
$ ITEM	IMP908073	1			
$ ITEM	IMPH0031	2			
$ ITEM	IMPH0338	7			
$ ITEM	IMPH0356	2			
$ ITEM	IMPH0357	2			
$ ITEM	IMPH0390	1			
$ ITEM	IMPH0431	1			
$ ITEM	IMPH0432	3			
$ ITEM	IMPH0435	2			
$ ITEM	IP10008	1			
$ ITEM	IX1209GMUKD	1			
$ ITEM	IX1311TTUKD	1			
$ ITEM	JB000821	1			
$ ITEM	JB002221	1			
$ ITEM	JB003624	1			
$ ITEM	JFCDVD06	1			
$ ITEM	JKEX1	1			
$ ITEM	JRDVD8002	1			
$ ITEM	K1512	1			
$ ITEM	K1548	1			
$ ITEM	K1595	1			
$ ITEM	KF0000	1			
$ ITEM	KRV125	1			
$ ITEM	LBOX4742	1			
$ ITEM	LLDDSF	1			
$ ITEM	LLDDV2	1			
$ ITEM	LSD11	3			
$ ITEM	LSD12	1			
$ ITEM	LSD418	1			
$ ITEM	M21960	2			
$ ITEM	MDV052	2			
$ ITEM	MDVD019	1			
$ ITEM	MHC20009	1			
$ ITEM	MMWALEM004	3			
$ ITEM	MP42014	1			
$ ITEM	MP42060	1			
$ ITEM	MP42066	1			
$ ITEM	MP42082	1			
$ ITEM	MP42087	2			
$ ITEM	MP42091	1			
$ ITEM	MP42092	1			
$ ITEM	MP42095	1			
$ ITEM	MSD1228	1			
$ ITEM	MSD1252	1			
$ ITEM	MSDVD532	1			
$ ITEM	MVD0460	1			
$ ITEM	MVD1437	1			
$ ITEM	MVD9779	1			
$ ITEM	MW024	1			
$ ITEM	MW1445	1			
$ ITEM	N204DVD	1			
$ ITEM	N5045DVD	1			
$ ITEM	NOM062D	1			
$ ITEM	NOV101193VD	1			
$ ITEM	PB021	1			
$ ITEM	PSD0204	1			
$ ITEM	PVP35091	1			
$ ITEM	PVP35299	1			
$ ITEM	QFROGCD004CD	1			
$ ITEM	QLD0066	1			
$ ITEM	QLDVD0251	1			
$ ITEM	QLDVD0309	1			
$ ITEM	QLDVD0317	1			
$ ITEM	QLDVD0365	2			
$ ITEM	QLDVD0375	1			
$ ITEM	QLDVD6114	1			
$ ITEM	QLDVD6428	1			
$ ITEM	QLDVD6645	1			
$ ITEM	QLDVD6663	1			
$ ITEM	QLDVD6740	1			
$ ITEM	QLDVD6750	8			
$ ITEM	QLDVD6911	1			
$ ITEM	QLDVD6917	1			
$ ITEM	QLDVD6926	1			
$ ITEM	QLDVD6957	1			
$ ITEM	RDR0031	1			
$ ITEM	RDR0044	1			
$ ITEM	RDR0050	1			
$ ITEM	RDR0126	1			
$ ITEM	RDR0129	1			
$ ITEM	RDR0137	1			
$ ITEM	RDR0150	1			
$ ITEM	RDR0193	1			
$ ITEM	RDR0340	1			
$ ITEM	RDR0341	1			
$ ITEM	RDR0343	1			
$ ITEM	RDR0344	1			
$ ITEM	RGPDVD1	1			
$ ITEM	RL209	1			
$ ITEM	RRDRKDVD01	1			
$ ITEM	RRMCDVD1	1			
$ ITEM	RRMCDVD2	1			
$ ITEM	RRMCDVD3	1			
$ ITEM	RRSVADVD01	1			
$ ITEM	SD013	1			
$ ITEM	SD014	1			
$ ITEM	SD015	1			
$ ITEM	SD016	1			
$ ITEM	SD017	1			
$ ITEM	SD018	1			
$ ITEM	SD021	1			
$ ITEM	SD025	1			
$ ITEM	SD15	1			
$ ITEM	SD17	1			
$ ITEM	SD18	1			
$ ITEM	SD25	1			
$ ITEM	SD26	1			
$ ITEM	SD35	1			
$ ITEM	SD42	2			
$ ITEM	SD43	1			
$ ITEM	SD5003	1			
$ ITEM	SD5008	1			
$ ITEM	SD5011	1			
$ ITEM	SD55	2			
$ ITEM	SDVD0306253	1			
$ ITEM	SEXD6425	1			
$ ITEM	SEXD6487	1			
$ ITEM	SEXD6635	1			
$ ITEM	SFD55	1			
$ ITEM	SG004	1			
$ ITEM	SK11440	1			
$ ITEM	SMARTDVD2	1			
$ ITEM	SMARTDVD41	1			
$ ITEM	SMARTDVD6	1			
$ ITEM	SMARTDVD7	1			
$ ITEM	SMARTDVD9	1			
$ ITEM	SMRT05	1			
$ ITEM	SP9911	1			
$ ITEM	STDC1111	1			
$ ITEM	STDC1166	1			
$ ITEM	SVD5089	1			
$ ITEM	SVD5102	1			
$ ITEM	SVD56	1			
$ ITEM	SVD76	1			
$ ITEM	SVD95	1			
$ ITEM	TADVD028	1			
$ ITEM	TAFOODVD034	1			
$ ITEM	TANRVDVD038	1			
$ ITEM	TAVDVD1002	1			
$ ITEM	TFHE9001	1			
$ ITEM	TFHE9002	2			
$ ITEM	TTR102	1			
$ ITEM	TTR12	1			
$ ITEM	TTR141	1			
$ ITEM	TTR201	1			
$ ITEM	TTR37	1			
$ ITEM	TTR43	1			
$ ITEM	TW02	1			
$ ITEM	VE5428	1			
$ ITEM	VESTA13049	3			
$ ITEM	VESTA13091	1			
$ ITEM	VESTAPOL13123	1			
$ ITEM	WTT55627	1			
$ ITEM	Y380DVD	1			
$ ITEM	Y381DVD	1			
$ ITEM	Y9105DVD	3			
$ ITEM	YFE5422	1			
M S E (send it)	1 Eagle Park Drive		Warrington	WA2 8JA
